"id","name","code","start_date","end_date","course_id/name","company_id/name"
"op_batch_0001","MTPCCATATH201C","MTPCCATATH201C",2020-11-13,2021-12-05,"Maestría en Psicología Clínica y de la Salud","ISEP INTERNACIONAL LLC"
"op_batch_0002","DIC1INTONL201B","DIC1INTONL201B",2021-07-05,2021-09-20,"Diplomado en Evaluación e Intervención en Psicología Clínica","ISEP INTERNACIONAL LLC"
"op_batch_0003","PGATONLELR201A","PGATONLELR201A",2019-08-20,2021-12-05,"Especialidad en Atención Temprana","ISEP INTERNACIONAL LLC"
"op_batch_0004","MTCPONLELR201A","MTCPONLELR201A",2020-03-20,2021-12-05,"Maestría en Psicooncologia y Cuidados Paliativos","ISEP INTERNACIONAL LLC"
"op_batch_0005","MLONMX211A","MLONMX211A",2019-06-27,2021-12-05,"Maestría en Psicología Forense","ISEP INTERNACIONAL LLC"
"op_batch_0006","MTLPONLELR201A","MTLPONLELR201A",2019-07-19,2021-12-05,"Maestría en Patologías del Lenguaje y el Habla","ISEP INTERNACIONAL LLC"
"op_batch_0007","PGAUONLELR201A","PGAUONLELR201A",2019-09-05,2021-12-05,"Especialidad en Trastornos Autistas","ISEP INTERNACIONAL LLC"
"op_batch_0008","MTPCONLELR201A","MTPCONLELR201A",2019-07-12,2021-12-05,"Maestría en Psicología Clínica y de la Salud","ISEP INTERNACIONAL LLC"
"op_batch_0009","MTMPONLELR201A","MTMPONLELR201A",2019-09-05,2021-12-05,"Máster en Psicoterapia Cognitivo-Conductual","ISEP INTERNACIONAL LLC"
"op_batch_0010","MTMIONLELR201A","MTMIONLELR201A",2019-08-01,2021-12-05,"Máster en Psicología Clínica Infantojuvenil","ISEP INTERNACIONAL LLC"
"op_batch_0011","MTCPONLELR191A","MTCPONLELR191A",2020-03-20,2021-12-05,"Maestría en Psicooncologia y Cuidados Paliativos","ISEP INTERNACIONAL LLC"
"op_batch_0012","MTMSONLELR191A","MTMSONLELR191A",2020-03-17,2021-12-05,"Maestría en Sexología Clínica y Terapia de Parejas","ISEP INTERNACIONAL LLC"
"op_batch_0013","MTAPONLENR191B","MTAPONLENR191B",2019-09-01,2021-12-05,"Maestría en Intervención en Dificultades del Aprendizaje","ISEP INTERNACIONAL LLC"
