id,name,course_type_id/id,area_id/id,code,evaluation_type,fees_term_id/id,company_id/id,lang,is_imported_record
op_course_0002,MÁSTER EN PSICOLOGÍA CLÍNICA INFANTOJUVENIL,op_course_type_0001,op_area_course_0009,MI,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0004,MAESTRÍA EN PSICOLOGÍA FORENSE,op_course_type_0002,op_area_course_0009,ML,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0008,ESPECIALIDAD EN PSICOONCOLOGÍA,op_course_type_0004,op_area_course_0009,PO,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0010,ISEP EMPRENDE,op_course_type_0003,op_area_course_0009,IL,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0018,MAESTRÍA EN PSICOPEDAGOGÍA TERAPÉUTICA,op_course_type_0001,op_area_course_0021,PV,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0019,TALLER DE TERAPIA ONLINE ELR,op_course_type_0002,,TTONLINED,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0021,MAESTRÍA EN NEUROMANAGEMENT Y GESTION DEL TALENTO,op_course_type_0001,op_area_course_0020,TH,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0024,MÁSTER EN INNOVACIÓN EDUCATIVA Y COMPETENCIAS DIGITALES,op_course_type_0001,,IC,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0026,MAESTRÍA EN BIG DATA Y BUSINESS INTELLIGENCE,op_course_type_0001,op_area_course_0019,BB,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0034,CURSO CIBERBULLYING,,op_area_course_0021,CB,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_5_6c52fb92,es_MX,True
op_course_0035,CURSO DÉFICIT DE ATENCIÓN,op_course_type_0003,op_area_course_0021,DA,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_5_6c52fb92,es_MX,True
op_course_0048,LÍDER ISEP: DESENVOLVA SEU PROJETO PROFISSIONAL E MARCA PESSOAL,op_course_type_0006,op_area_course_0023,EDU,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0057,DIPLOMADOS HABILIDADES BÁSICAS DEL TERAPEUTA,op_course_type_0007,op_area_course_0022,HB,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0058,DIPLOMADO DIAGNÓSTICO E INTERVENCIÓN EN TRASTORNOS MENTALES,op_course_type_0007,op_area_course_0022,DI,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0059,DIPLOMADO TERAPIA CC CENTRADA EN PERSONAS ADULTAS,op_course_type_0007,op_area_course_0009,TC,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0060,DIPLOMADO EVALUACIÓN INFANTOJUVENIL,op_course_type_0007,op_area_course_0022,EI,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0061,DIPLOMADO TÉCNICAS DE INTERVENCIÓN INFANTOJUVENIL,op_course_type_0007,op_area_course_0022,TI,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0062,DIPLOMADO DIAGNÓSTICO E INTERVENCIÓN INFANTOJUVENIL EN TRASTORNOS DE ANSIEDAD; DEPRESIVOS Y BIPOLARES,op_course_type_0007,op_area_course_0022,IJ,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0063,DIPLOMADO DIAGNÓSTICO DE TRASTORNOS CLÍNICOS Y SU REPERCUSIÓN FORENSE,op_course_type_0007,op_area_course_0022,TF,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0064,DIPLOMADO PSICOLOGÍA FORENSE CENTRADA EN NIÑOS Y NIÑAS,op_course_type_0007,op_area_course_0022,FN,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0065,DIPLOMADO PSICOLOGÍA FORENSE CENTRADA EN LA MUJER Y LA FAMILIA,op_course_type_0007,op_area_course_0022,FM,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0067,DIPLOMADO EL PSICÓLOGO EN ONCOLOGÍA; ALTERACIONES PSICOLÓGICAS DERIVADAS DEL CÁNCER,op_course_type_0007,op_area_course_0022,PA,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0068,DIPLOMADO EL CÁNCER EN LA FAMILIA,op_course_type_0007,op_area_course_0022,DC,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0069,DIPLOMADO DISFUNCIONES SEXUALES,op_course_type_0007,op_area_course_0022,DS,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0070,DIPLOMADO TERAPIA DE PAREJA,op_course_type_0007,op_area_course_0022,TP,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0071,DIPLOMADO CONOCIMIENTOS Y HABILIDADES BÁSICAS DE LA TERAPIA SEXUAL,op_course_type_0007,op_area_course_0022,BS,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0072,DIPLOMADO CAPACIDADES INTELECTUALES Y ESTRATEGIAS DE APRENDIZAJE,op_course_type_0007,op_area_course_0021,CE,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0073,DIPLOMADO ALUMNOS CON DÉFICITS MOTORES; VISUALES Y AUDITIVOS,op_course_type_0007,op_area_course_0021,AD,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0075,DIPLOMADO PSICOLOGÍA POSITIVA Y COACHING EDUCATIVO,op_course_type_0007,op_area_course_0021,PE,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0076,DIPLOMADO RESOLUCIÓN DE CONFLICTOS Y EDUCACIÓN EN VALORES EN EL AULA,op_course_type_0007,op_area_course_0021,DR,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0077,DIPLOMADO PLANEACIÓN; DISEÑO CURRICULAR Y DE INSTRUMENTOS DE EVALUACIÓN EDUCATIVA,op_course_type_0007,op_area_course_0021,PD,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0078,DIPLOMADO EVOLUCIÓN Y EXPLORACIÓN DEL LENGUAJE,op_course_type_0007,op_area_course_0012,EE,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0079,DIPLOMADO TRASTORNOS DEL LENGUAJE Y EL HABLA,op_course_type_0007,op_area_course_0012,TL,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0080,DIPLOMADO FUNDAMENTOS NEUROPSICOLÓGICOS Y DEL NEUROMANAGEMENT,op_course_type_0007,op_area_course_0020,NN,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0081,DIPLOMADO BASES FINANCIERAS Y NEUROLIDERAZGO,op_course_type_0007,op_area_course_0026,BN,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0082,DIPLOMADO FUNDAMENTOS Y ADMINISTRACIÓN ESTRATÉGICA,op_course_type_0007,op_area_course_0019,FA,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0083,DIPLOMADO LIDERAZGO ORGANIZACIONAL Y TOMA DE DECISIONES,op_course_type_0007,op_area_course_0019,LO,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0084,DIPLOMADO FUDAMENTOS DE BIG DATA Y BUSINESS INTELLIGENCE,op_course_type_0007,op_area_course_0019,FB,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0085,DIPLOMADO ESTADÍSTICA; MODELOS DE REGRESIÓN Y ANÁLISIS PREDICTIVO PARA LA TOMA DE DECISIÓNES,op_course_type_0007,op_area_course_0019,EM,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0086,DIPLOMADO DIRECCIÓN DE PROYECTOS,op_course_type_0007,op_area_course_0019,IP,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0087,DIPLOMADO GESTIONES PARA LA DIRECCIÓN DE PROYECTOS,op_course_type_0007,op_area_course_0019,GD,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0088,DIPLOMADO NEUROLIDERAZGO Y GESTIÓN DE EQUIPOS DE ALTO RENDIMIENTO,op_course_type_0007,op_area_course_0019,NG,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0089,DIPLOMADO CONSULTORÍA Y CERTIFICACIÓN EN PROYECTOS,op_course_type_0007,op_area_course_0019,CC,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0091,ESPECIALIDADE EM DISTÚRBIOS DA LINGUAGEM ESCRITA,op_course_type_0004,op_area_course_0021,LE,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0092,CURSO NUEVAS TECNOLOGÍAS APLICADAS A LA INTERVENCIÓN EDUCATIVA,,op_area_course_0021,TE,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0093,CURSO PSICOLOGÍA DE LA SALUD,,op_area_course_0009,SD,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0094,CLASES ONLINE EN VIVO PSICOLOGÍA,op_course_type_0005,op_area_course_0009,CV,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0095,CLASES ONLINE EN VIVO CVE,op_course_type_0005,op_area_course_0021,CVE,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0096,CLASES ONLINE EN VIVO CVA,op_course_type_0005,op_area_course_0019,CVA,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0097,CLASES ONLINE EN VIVO CVLOP,op_course_type_0005,op_area_course_0012,CVLOP,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0101,OKR CERTIFIED PROFESSIONAL - OKRCP™,op_course_type_0009,op_area_course_0028,OK,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0103,SAÚDE; TRABALHO E SAÚDE LABORAL,op_course_type_0010,op_area_course_0028,ST,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
